city,price_lvl,bias,label,percent_stats
Atlanta,$,gender,female,22.271444082519
Atlanta,$,gender,male,77.728555917481
Atlanta,$$,gender,female,25.972629403566106
Atlanta,$$,gender,male,74.0273705964339
Atlanta,$$$,gender,female,29.012060343740806
Atlanta,$$$,gender,male,70.98793965625919
Atlanta,$$$$,gender,female,30.11302475780409
Atlanta,$$$$,gender,male,69.88697524219592
Austin,$,gender,female,24.42781752748894
Austin,$,gender,male,75.57218247251106
Austin,$$,gender,female,26.808125790022054
Austin,$$,gender,male,73.19187420997794
Austin,$$$,gender,female,29.64332318399304
Austin,$$$,gender,male,70.35667681600695
Austin,$$$$,gender,female,24.99502487562189
Austin,$$$$,gender,male,75.0049751243781
Boston,$,gender,female,21.131060174884876
Boston,$,gender,male,78.86893982511512
Boston,$$,gender,female,24.396179462782698
Boston,$$,gender,male,75.6038205372173
Boston,$$$,gender,female,28.270462311330363
Boston,$$$,gender,male,71.72953768866964
Boston,$$$$,gender,female,28.61346516007533
Boston,$$$$,gender,male,71.38653483992466
Columbus,$,gender,female,27.573677836092045
Columbus,$,gender,male,72.42632216390795
Columbus,$$,gender,female,28.08203867218062
Columbus,$$,gender,male,71.91796132781938
Columbus,$$$,gender,female,31.689272503082613
Columbus,$$$,gender,male,68.31072749691738
Columbus,$$$$,gender,female,31.48479427549195
Columbus,$$$$,gender,male,68.51520572450805
Orlando,$,gender,female,27.25104843351698
Orlando,$,gender,male,72.74895156648302
Orlando,$$,gender,female,28.916166362861013
Orlando,$$,gender,male,71.08383363713898
Orlando,$$$,gender,female,31.939017850302612
Orlando,$$$,gender,male,68.06098214969738
Orlando,$$$$,gender,female,29.8938134810711
Orlando,$$$$,gender,male,70.10618651892891
Portland,$,gender,female,25.180653993449667
Portland,$,gender,male,74.81934600655033
Portland,$$,gender,female,28.314121868762044
Portland,$$,gender,male,71.68587813123796
Portland,$$$,gender,female,29.379516571143782
Portland,$$$,gender,male,70.62048342885622
Portland,$$$$,gender,female,28.15036309269543
Portland,$$$$,gender,male,71.84963690730457
Toronto,$,gender,female,22.260921484724847
Toronto,$,gender,male,77.73907851527515
Toronto,$$,gender,female,22.844096542726678
Toronto,$$,gender,male,77.15590345727333
Toronto,$$$,gender,female,25.042438556351023
Toronto,$$$,gender,male,74.95756144364898
Toronto,$$$$,gender,female,23.549655850540805
Toronto,$$$$,gender,male,76.4503441494592
