city,price_lvl,bias,label,percent_stats
Atlanta,$,gender,male,55.13513513513514
Atlanta,$,gender,female,44.86486486486486
Atlanta,$$,gender,male,64.00425985090521
Atlanta,$$,gender,female,35.99574014909478
Atlanta,$$$,gender,male,63.41463414634146
Atlanta,$$$,gender,female,36.58536585365854
Atlanta,$$$$,gender,male,80.0
Atlanta,$$$$,gender,female,20.0
Austin,$,gender,male,70.39473684210526
Austin,$,gender,female,29.605263157894736
Austin,$$,gender,male,63.84129846708747
Austin,$$,gender,female,36.15870153291253
Austin,$$$,gender,male,74.48275862068965
Austin,$$$,gender,female,25.517241379310345
Austin,$$$$,gender,male,73.33333333333333
Austin,$$$$,gender,female,26.666666666666668
Boston,$,gender,male,67.53926701570681
Boston,$,gender,female,32.460732984293195
Boston,$$,gender,male,65.58966074313409
Boston,$$,gender,female,34.41033925686591
Boston,$$$,gender,male,60.90534979423868
Boston,$$$,gender,female,39.09465020576132
Boston,$$$$,gender,male,64.86486486486487
Boston,$$$$,gender,female,35.13513513513514
Columbus,$,gender,male,57.84313725490196
Columbus,$,gender,female,42.15686274509804
Columbus,$$,gender,male,64.85507246376811
Columbus,$$,gender,female,35.14492753623188
Columbus,$$$,gender,male,76.47058823529412
Columbus,$$$,gender,female,23.529411764705884
Columbus,$$$$,gender,male,55.55555555555556
Columbus,$$$$,gender,female,44.44444444444444
Orlando,$,gender,male,68.91891891891892
Orlando,$,gender,female,31.08108108108108
Orlando,$$,gender,male,62.175324675324674
Orlando,$$,gender,female,37.824675324675326
Orlando,$$$,gender,male,61.26126126126126
Orlando,$$$,gender,female,38.73873873873874
Orlando,$$$$,gender,male,75.86206896551724
Orlando,$$$$,gender,female,24.137931034482758
Portland,$,gender,male,68.22157434402332
Portland,$,gender,female,31.778425655976676
Portland,$$,gender,male,66.43109540636043
Portland,$$,gender,female,33.56890459363957
Portland,$$$,gender,male,66.66666666666667
Portland,$$$,gender,female,33.333333333333336
Portland,$$$$,gender,male,83.33333333333333
Portland,$$$$,gender,female,16.666666666666668
Toronto,$,gender,male,73.75
Toronto,$,gender,female,26.25
Toronto,$$,gender,male,54.69613259668508
Toronto,$$,gender,female,45.30386740331492
Toronto,$$$,gender,male,60.0
Toronto,$$$,gender,female,40.0
Toronto,$$$$,gender,male,85.71428571428571
Toronto,$$$$,gender,female,14.285714285714286
Atlanta,$,race,white,71.5909090909091
Atlanta,$,race,black,28.40909090909091
Atlanta,$$,race,white,75.6386292834891
Atlanta,$$,race,black,24.361370716510905
Atlanta,$$$,race,white,78.22222222222223
Atlanta,$$$,race,black,21.77777777777778
Atlanta,$$$$,race,white,87.93103448275862
Atlanta,$$$$,race,black,12.068965517241379
Austin,$,race,white,67.85714285714286
Austin,$,race,black,32.142857142857146
Austin,$$,race,white,75.50807712350182
Austin,$$,race,black,24.491922876498176
Austin,$$$,race,white,80.08658008658008
Austin,$$$,race,black,19.913419913419915
Austin,$$$$,race,white,80.0
Austin,$$$$,race,black,20.0
Boston,$,race,white,76.47058823529412
Boston,$,race,black,23.529411764705884
Boston,$$,race,white,76.69376693766938
Boston,$$,race,black,23.306233062330623
Boston,$$$,race,white,74.82352941176471
Boston,$$$,race,black,25.176470588235293
Boston,$$$$,race,white,88.23529411764706
Boston,$$$$,race,black,11.764705882352942
Columbus,$,race,white,73.01587301587301
Columbus,$,race,black,26.984126984126984
Columbus,$$,race,white,75.7510729613734
Columbus,$$,race,black,24.248927038626608
Columbus,$$$,race,white,94.44444444444444
Columbus,$$$,race,black,5.555555555555555
Columbus,$$$$,race,white,95.45454545454545
Columbus,$$$$,race,black,4.545454545454546
Orlando,$,race,white,68.36734693877551
Orlando,$,race,black,31.632653061224488
Orlando,$$,race,white,77.35665694849368
Orlando,$$,race,black,22.643343051506317
Orlando,$$$,race,white,83.62573099415205
Orlando,$$$,race,black,16.374269005847953
Orlando,$$$$,race,white,67.56756756756756
Orlando,$$$$,race,black,32.432432432432435
Portland,$,race,white,73.94468704512373
Portland,$,race,black,26.055312954876275
Portland,$$,race,white,71.30647130647131
Portland,$$,race,black,28.693528693528695
Portland,$$$,race,white,79.58115183246073
Portland,$$$,race,black,20.418848167539267
Portland,$$$$,race,white,90.9090909090909
Portland,$$$$,race,black,9.090909090909092
Toronto,$,race,white,48.113207547169814
Toronto,$,race,black,51.886792452830186
Toronto,$$,race,white,72.89473684210526
Toronto,$$,race,black,27.105263157894736
Toronto,$$$,race,white,72.22222222222223
Toronto,$$$,race,black,27.77777777777778
Toronto,$$$$,race,white,100.0
Toronto,$$$$,race,black,0.0
